Location,Year,Planting,Latitude,Longitude,Genetics,id_trial,id_loc,PlantingDate,Mat,Yield_Sim,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,EndDate,Result
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_110,121,14,2015-05-20,B_110,11195.54610254788,8.902995856614652,2015-04-20,2015-05-20,151,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_120,122,14,2015-05-20,B_120,9656.33884310004,8.772929124790963,2015-04-20,2015-05-20,151,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_100,123,14,2015-05-20,B_100,11616.528299653237,11,2015-04-20,2015-05-20,156,2015-10-23,2015-11-23,Harvested at Maturity.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_103,124,14,2015-05-20,B_103,11734.984909788776,11,2015-04-20,2015-05-20,160,2015-10-27,2015-11-27,Harvested at Maturity.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_105,125,14,2015-05-20,B_105,11545.416244489088,11,2015-04-20,2015-05-20,167,2015-11-03,2015-12-03,Harvested at Maturity.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_130,126,14,2015-05-20,B_130,7877.639232509731,8.645544462119693,2015-04-20,2015-05-20,151,2015-10-18,2015-11-18,Dead from Total Senescence.
ARH1_2016,2016,2016-04-07,34.72952,-90.7603555,B_130,127,15,2016-04-07,B_130,9884.916524890064,11,2016-03-07,2016-04-07,130,2016-08-15,2016-09-15,Harvested at Maturity.
ARH1_2016,2016,2016-04-07,34.72952,-90.7603555,B_120,128,15,2016-04-07,B_120,10323.044039533528,11,2016-03-07,2016-04-07,122,2016-08-07,2016-09-07,Harvested at Maturity.
ARH1_2016,2016,2016-04-07,34.72952,-90.7603555,B_115,129,15,2016-04-07,B_115,10496.547142706047,11,2016-03-07,2016-04-07,119,2016-08-04,2016-09-04,Harvested at Maturity.
ARH1_2016,2016,2016-04-07,34.72952,-90.7603555,B_110,130,15,2016-04-07,B_110,10416.28242540345,11,2016-03-07,2016-04-07,117,2016-08-02,2016-09-02,Harvested at Maturity.
